"('context', 'inst_name')",count,ror_category
Institute for Accessibility Development,1,nonprofit
Georgia Tech,1,education
LUMENASTRA,1,other
Ednovo,1,nonprofit
CUAHSI,1,nonprofit
"Virginia Institute of Marine Science, William & Mary",1,nonprofit
Monteverde Institute,1,nonprofit
The Holden Arboretum,1,other
CENTRE DE GENETIQUE HUMAINE,1,other
"BOR, NSHE",1,other
Enterprise Works,1,other
OFF PLANET RESEARCH L.L.C.,1,other
Penn State Erie,1,other
BIODIVERSITY OUTREACH NETWORK,1,other
PARAMOUNT PLANET PRODUCT,1,other
Midwest Electric Propulsion Company,1,other
Cornell Water Filtration Plant,1,other
completionAI,1,other
Kepley Biosystems Incorporated,1,other
BioAmp Diagnostics,1,company
Vena Vitals,1,other
UT Dallas,1,education
Mathematisches Forschungsinstitut Oberwolfach,1,other
Trestle Optics,1,other
Bezwada Biomedical,1,company
STARK STREET MATERIALS COMPANY,1,company
Silvec Biologics,1,other
"WINDWARD ENGINEERING, L.C.",1,company
The Water Tower,1,other
EPA,1,other
"Robichaux, Colleen E",1,other
UCLA Math Department,1,education
SUNY-ESF,1,education
"EarthScope, In c",1,other
IRIS,1,other
Battelle Education,1,other
INSTITUTE FOR NATIVE PACIFIC EDUCATION AND CULTURE,1,nonprofit
"Manawan, Quebec",1,other
Georgia Institute,1,nonprofit
Villanova Inn and Conference Center,1,nonprofit
GLOBAL PHILANTHROPY PARTNERSHIP,1,nonprofit
Bay area bioscience education community,1,nonprofit
ASTRO America,1,other
LISA FITZPATRICK & ASSOCIATES MD PC,1,other
Johns hopkins,1,education
Holaskoli a Holum i Hjaltadal,1,other
UCI Applied Innovation,1,education
Jefferson Community and Techni,1,nonprofit
MTTC/SCME,1,other
Columbia Univeristy Lamont-Doherty Earth Obs.,1,other
NSF,1,government
The Fledge,1,other
LACIM/Université du Québec à Montréal (UQAM),1,other
TOTAL ANALYSIS L.L.C.,1,other
"Seelinger, George H",1,other
Massachusetts Institute of Technology Department of Mathematics,1,government
Northern Forest Center,1,nonprofit
Urbanova,1,nonprofit
Genspace,1,nonprofit
Texas A & M AgriLife Research,1,other
Princeton Innovation Center BioLabs,1,nonprofit
CelluDot,1,other
CARNEGIE INSTITUTION OF WASHINGTON,1,nonprofit
"Ehichioya, David Ehireme",1,other
"Ramirez-Corona, Bryan A",1,other
"DeSimone, Joely",1,other
Olivia Kosterlitz,1,other
"Snead, Anthony Andrew",1,other
"Froehlich, Catheline Yasmin-Magali",1,other
"Stanton, Lauren Ashely",1,other
New Iridium,1,other
Swinomish Indian Tribal Community,1,nonprofit
QUEENSLAND INSTITUTE OF MEDICAL RESEARCH,1,nonprofit
Viterbi,1,other
SDSMT,1,education
HeroWear,1,other
003259439,1,other
Centre Songhai Regional,1,other
CSU Office of the Chancellor,1,education
Boise State,1,education
220 Hollister Hall,1,other
H.J. Andrews Experimental Forest LTER Site,1,other
The J. David Gladstone Institutes,1,nonprofit
Central Caribbean Marine Institute,1,nonprofit
UNL Chemistry,1,other
Oregon,1,other
Hawaii,1,other
Boomplaas Cave,1,other
Muon Vision,1,other
Industry Labs,1,company
Hope Center,1,nonprofit
Indy Hall,1,company
Paleontological Research Institution,1,other
International Center for Advanced Internet Research Northwestern,1,nonprofit
Wisconsin National Primate Research Center,1,nonprofit
AZ Board of Regents on behalf of Arizona State,1,government
"U.S. Geological Survey, Fort Collins Science Center",1,nonprofit
Interuniversity Institute,1,nonprofit
Embassy Suites by Hilton Alexandria,1,other
Rehabilitation Institute of Chicago,1,nonprofit
UNC-Charlotte,1,education
Network Startup Resource Center,1,nonprofit
GENIPHYS,1,company
Department of Chemistry,1,government
Computer Sciences Department,1,government
Obsidian Sensors,1,other
UMass Dartmouth,1,education
National Center for CryoEM Access and Training,1,nonprofit
SAFELI,1,other
Loggerhead Instruments,1,company
UNC,1,education
NMSU,1,education
Environmental Health and Education Center,1,nonprofit
Power Environmental Energy Research Institute,1,company
Department of Physics/UNT,1,government
MSU,1,education
101 Whitehurst HAll,1,other
Observatories of the Carnegie Institution for Science,1,other
"Wong, Biji",1,other
UCLA Electrical & Computer Engineering,1,company
Institute of Behavioral Science,1,nonprofit
041980632,1,other
Institute for Rock Magnetism,1,nonprofit
Department of Chemistry and Biochemistry,1,government
Cal. State. Uni. Domingues Hills,1,other
UA-Civil Engr,1,other
Multiplier-Environmental Data and Governance Initiative,1,nonprofit
Nelson Institute for Environmental Studies,1,nonprofit
"Mayfield, KY disaster site",1,other
EERC,1,other
Carnegie Learning,1,company
Fermilab/LPC/Cornell,1,other
AAVSO,1,nonprofit
Wisconsin IceCube Particle Astrophysics Center,1,nonprofit
SUNY @ Stony Brook,1,education
UCSB,1,education
UofA Mathematics,1,other
Coeur d Alene Tribe,1,government
"JOHNSON, O.S. TECHNICAL INSTITUTE",1,nonprofit
Lena Ji,1,other
Charles Babbage Institute,1,education
SUNY STONY BROOK,1,education
"Lopatto, Patrick",1,other
"Finocchiaro, Jessica J",1,other
"Hallgren, Maximilien",1,other
UCLA Mathematics Department,1,education
SUNY-Buffalo Dept. of Chemistry,1,education
OCULOGENEX,1,other
Eidgenössische Technische Hochschule (ETH) Zürich,1,education
J. David Gladstone Institutes,1,nonprofit
Peraton labs,1,company
"Fu, Beverly",1,other
CRYOSCOPE MEDICAL,1,other
"MASTERS, MATES AND PILOTS MARITIME ADVANCEMENT, TRAINING, EDUCATION AND SAFETY PROGRAM D/B/A MITAGS/MCC",1,nonprofit
MAINE CENTER FOR COASTAL FISHERIES,1,nonprofit
BIOREALM,1,company
CITY OF MISSOULA,1,government
QRS DIAGNOSTIC,1,company
WAVI COMPANY,1,company
AVSANA LABS INCORPORATED,1,company
ESSENTIA INSTITUTE OF RURAL HEALTH,1,nonprofit
PICOYUNE,1,company
PHOTOMATRIX,1,company
ASCAN L. L. C.,1,other
ERIE COUNTY,1,government
LIFEBOARD MEDICAL,1,other
RESULTS GROUP,1,company
"DIRECT ELECTRON, LP",1,company
ELEVATEU,1,company
MOTHER COMMUNICATIONS CO.,1,company
3RT INNOVATIONS,1,other
INSTITUT JEAN PAOLI & IRENE CALMETTES CENTRE REGIONAL DE LUTTE CONTRE LE CANCER,1,other
INSERM PARIS 5,1,other
ASIAN HEALTH COALITION OF ILLINOIS,1,nonprofit
INTERNATIONAL CENTRE/GENETC ENGR/BIOTECH,1,company
VASCULAR VISION PHARMACEUTICALS COMPANY,1,other
HARRIS COUNTY,1,other
FRANKLIN COUNTY OHIO BOARD/COMMISSIONERS,1,government
WETA TV 26,1,other
SAFE WATER AND AIDS PROJECT (SWAP),1,nonprofit
JAVELIN BIOTECH,1,company
ALCORIX,1,other
MASSIVE ANALYSIS AND QUALITY CONTROL SOC,1,other
NATIONAL ASSN /CNTY/CITY/HLTH/OFFICIALS,1,other
WESTERN STATES CANCER RESEARCH NCORP,1,other
COMMONWEALTH SCIENTIFIC & INDUST RES ORG,1,other
AUSTRALIAN HEARING SERVICES,1,other
HUMMINGBIRD PRECISION MACHINE COMPANY,1,other
FLORIDA ASSN OF PEDIATRIC TUMOR PROG,1,other
YEMAACHI BIOTECH,1,company
"BOR, NSHE,",1,other
EDIFY,1,company
EARTHSHOT Labs PBC,1,company
RIVALIA CHEMICAL CO,1,company
ABSENTEE SHAWNEE TRIBE OF OKLAHOMA,1,government
CHUGACH REGIONAL RESOURCES COMMISSION,1,government
EASTERN SHOSHONE TRIBE,1,government
ADVANCED OPTRONICS,1,other
GODWIT KEY COMPANY,1,other
CATALYST COOPERATIVE,1,nonprofit
MATREGENIX,1,other
ORPHAGEN PHARMACEUTICALS,1,company
STUDENT RESEARCH & DEVELOPMENT,1,other
Sea Bird Marina,1,other
Board of Trustees,1,government
SHAKOPEE MDEWAKANTON SIOUX COMMUNITY,1,nonprofit
The Administrators of the Tulane Educational Fund,1,nonprofit
"FAKHRO, LOUAY K",1,other
NATIONAL INSTITUTE FOR PHARM TECH/EDUC,1,nonprofit
Biochip Labs,1,company
U.S. PHARMACOPEIA,1,nonprofit
ISTITUTO DI RICERCA GENETICA E BIOMEDICA IRGB CNR,1,other
BATTELLE MEMORIAL INSTITUTE,1,nonprofit
MONTEFIORE,1,other
Set Point Solutions,1,company
BiomeSense,1,company
CURRENT INNOVATION NFP,1,other
THE INDUSTRIAL COMMONS,1,other
Rocky Mountain Innovation Initiative (DBA: Innosphere Ventures),1,nonprofit
Oregon Institute of Marine Biology,1,nonprofit
Center for Western Weather and Water Extremes,1,nonprofit
NASA Marshall Space Flight Center (MSFC),1,government
Terasaki Institute for Biomedical Innovation,1,nonprofit
DRYAD,1,nonprofit
MYANIML,1,company
BEATSON INSTITUTE FOR CANCER RESEARCH,1,nonprofit
COMMONSPIRIT HEALTH RESEARCH INSTITUTE,1,nonprofit
mHUB,1,nonprofit
INDOOR BIOTECHNOLOGIES,1,company
"CENTER FOR BIOETHICS AND RESEARCH, NIGERIA",1,nonprofit
VITAMIN D WORKSHOP,1,other
NORTH CAROLINA COMMUNITY HEALTH Center/ASSN,1,nonprofit
ASOCIACION BENEFICA PRISMA,1,other
GLOBAL ANIMAL HEALTH TANZANIA,1,other
GLAXOSMITHKLINE BIOLOGICALS,1,other
PRENTKE ROMICH COMPANY,1,other
SENTARA HEALTH,1,other
"INTERNATIONAL UNION, UAW OF AMER AFL-CIO",1,nonprofit
ICH,1,other
AYUDA MEDICAL,1,company
CULTURA Y ARTE NATIVA DE LAS AMERICAS,1,other
CENTRE OF EXCELLENCE IN HEALTH MONITORING AND EVALUATION,1,other
FUNDACAO MANHICA,1,other
PERCEPTION DYNAMICS INSTITUTE,1,nonprofit
JAGUAR ANIMAL HEALTH,1,company
SYNCANICA BIO,1,company
ASSN OF FOOD/DRUG OFFICIALS/SOUTH/STATES,1,other
UBATEC S.A.,1,other
RESELUTE,1,company
CELL PODIUM,1,company
SESH INCORPORATED,1,company
"STATE OF NEW HAMPSHIRE-DEPARTMENT OF AGRICULTURE, MARKETS & FOOD",1,government
DAIGNOSTX L.L.C.,1,other
DELAWARE STATE DEPARTMENT OF AGRICULTURE,1,government
KENTUCKY STATE DEPARTMENT OF AGRICULTURE,1,government
MISSISSIPPI STATE DEPARTMENT OF AGRICULTURE AND COMMERCE,1,government
"PERLARA, PBC",1,other
LIUNA TRAINING AND EDUCATION FUND,1,nonprofit
VETERANS EDUCATION/RES/ASSN/NORTH/NE,1,other
RICHMOND INSTITUTE FOR VETERANS RESEARCH,1,nonprofit
WEST VIRGINIA STATE HEALTH DEPARTMENT,1,government
CASTNER INCORPORATED,1,other
RASOPATHIES NETWORK USA,1,other
CHICAGO ASSN FOR RESEARCH & EDUC IN SCI,1,other
NZUMBE EPIGENETICS,1,company
"PRINSES MAXIMA VOOR KINDERONCOLOGIE, BV",1,other
HOUSING AUTHORITY OF THE CITY OF LOS ANGELES,1,government
U.S. NATIONAL Institute OF ENVIRON HLTH SCIS,1,nonprofit
"UNIVERSIDAD NACIONAL, COSTA RICA",1,other
FEONIX,1,nonprofit
CAMPESINOS SIN FRONTERAS,1,other
ASIAN AMERICAN HEALTH COALITION/HOUSTON,1,nonprofit
ARKANSAS CANCER COALITION,1,nonprofit
OSIVAX SAS,1,company
FUNDACIO INSTITUT DE RECERCA BIOMEDICA,1,other
INSTITUTE FOR CLINICAL PHARMACODYNAMICS,1,nonprofit
BATTELLE MEMORIAL INSTITU,1,other
FUNDACION INCIENSA,1,other
NOVA RESEARCH COMPANY,1,other
HILL GROUP THE,1,company
OMNISYNC INCORPORATED,1,company
WOODS & POOLE ECONOMICS I,1,other
URBAN HEALTH PARTNERSHIPS,1,other
NEW MEXICO STATE DEPARTMENT/ ENVIRONMENT,1,government
PARTNERSHIP FOR RESEARCH/ACTION/HEALTH,1,nonprofit
ASIAN COMMUNITY HEALTH COALITION,1,nonprofit
TRIFOIL IMAGING,1,other
TET MEDICAL,1,company
CENTRO INTERNACIONAL (CIDEIM),1,other
"SISTEMA UNIVERSITARIO ANA G. MENDEZ, INCORPORADO",1,education
SPECTRAGENETICS,1,other
ANAGIN,1,company
SAN JUAN BAUTISTA,1,other
NEUROVATIONS,1,company
"ACCELERATED MUSCLE BIOTECHNOLOGIES CONSULTANTS, L.L.C.",1,other
